,structure_name,SurfArea,GrayVol,AvgThick,sub_id
0,lh_G&S_frontomargin,845,2159,2.425,sub-0001
1,lh_G&S_occipital_inf,1173,3141,2.448,sub-0001
2,lh_G&S_paracentral,858,2874,2.611,sub-0001
3,lh_G&S_subcentral,1023,3126,2.719,sub-0001
4,lh_G&S_transv_frontopol,549,1599,2.294,sub-0001
5,lh_G&S_cingul-Ant,1642,4958,2.879,sub-0001
6,lh_G&S_cingul-Mid-Ant,893,2483,2.79,sub-0001
7,lh_G&S_cingul-Mid-Post,752,1950,2.683,sub-0001
8,lh_G_cingul-Post-dorsal,367,1559,3.116,sub-0001
9,lh_G_cingul-Post-ventral,184,550,2.573,sub-0001
10,lh_G_cuneus,1263,2286,1.623,sub-0001
11,lh_G_front_inf-Opercular,1098,4199,2.954,sub-0001
12,lh_G_front_inf-Orbital,397,1628,3.257,sub-0001
13,lh_G_front_inf-Triangul,759,2848,2.936,sub-0001
14,lh_G_front_middle,2346,9387,2.944,sub-0001
15,lh_G_front_sup,4880,19029,3.08,sub-0001
16,lh_G_Ins_lg&S_cent_ins,441,1735,3.686,sub-0001
17,lh_G_insular_short,463,2571,3.903,sub-0001
18,lh_G_occipital_middle,1254,3991,2.463,sub-0001
19,lh_G_occipital_sup,838,1697,1.799,sub-0001
20,lh_G_oc-temp_lat-fusifor,1262,4334,2.749,sub-0001
21,lh_G_oc-temp_med-Lingual,2182,4702,1.936,sub-0001
22,lh_G_oc-temp_med-Parahip,837,3549,3.15,sub-0001
23,lh_G_orbital,1665,6518,2.91,sub-0001
24,lh_G_pariet_inf-Angular,1599,5572,2.695,sub-0001
25,lh_G_pariet_inf-Supramar,1707,6263,2.864,sub-0001
26,lh_G_parietal_sup,1897,5664,2.436,sub-0001
27,lh_G_postcentral,1346,3844,2.302,sub-0001
28,lh_G_precentral,1223,5056,3.167,sub-0001
29,lh_G_precuneus,1775,6477,2.851,sub-0001
30,lh_G_rectus,662,2402,2.554,sub-0001
31,lh_G_subcallosal,545,1467,2.54,sub-0001
32,lh_G_temp_sup-G_T_transv,405,1275,2.869,sub-0001
33,lh_G_temp_sup-Lateral,1289,6212,3.342,sub-0001
34,lh_G_temp_sup-Plan_polar,552,2310,3.53,sub-0001
35,lh_G_temp_sup-Plan_tempo,577,1837,2.874,sub-0001
36,lh_G_temporal_inf,1787,7363,3.039,sub-0001
37,lh_G_temporal_middle,1735,7830,3.198,sub-0001
38,lh_Lat_Fis-ant-Horizont,201,492,2.5,sub-0001
39,lh_Lat_Fis-ant-Vertical,208,657,3.09,sub-0001
40,lh_Lat_Fis-post,689,1421,2.58,sub-0001
41,lh_Pole_occipital,1397,2467,1.623,sub-0001
42,lh_Pole_temporal,1122,5968,3.641,sub-0001
43,lh_S_calcarine,1525,2339,1.772,sub-0001
44,lh_S_central,1921,3371,1.969,sub-0001
45,lh_S_cingul-Marginalis,713,1512,2.34,sub-0001
46,lh_S_circular_insula_ant,426,1061,3.151,sub-0001
47,lh_S_circular_insula_inf,933,2132,2.836,sub-0001
48,lh_S_circular_insula_sup,1182,2745,2.877,sub-0001
49,lh_S_collat_transv_ant,631,1651,2.673,sub-0001
50,lh_S_collat_transv_post,417,601,1.817,sub-0001
51,lh_S_front_inf,1477,3305,2.419,sub-0001
52,lh_S_front_middle,1013,1930,2.138,sub-0001
53,lh_S_front_sup,1894,5029,2.667,sub-0001
54,lh_S_interm_prim-Jensen,198,418,2.126,sub-0001
55,lh_S_intrapariet&P_trans,2072,4345,2.188,sub-0001
56,lh_S_oc_middle&Lunatus,731,1131,1.819,sub-0001
57,lh_S_oc_sup&transversal,898,1732,2.197,sub-0001
58,lh_S_occipital_ant,469,922,2.201,sub-0001
59,lh_S_oc-temp_lat,645,1466,2.622,sub-0001
60,lh_S_oc-temp_med&Lingual,1396,3429,2.607,sub-0001
61,lh_S_orbital_lateral,255,488,2.05,sub-0001
62,lh_S_orbital_med-olfact,490,976,2.528,sub-0001
63,lh_S_orbital-H_Shaped,1016,2669,2.642,sub-0001
64,lh_S_parieto_occipital,1246,2531,2.28,sub-0001
65,lh_S_pericallosal,607,1105,2.362,sub-0001
66,lh_S_postcentral,1879,3947,2.273,sub-0001
67,lh_S_precentral-inf-part,767,1840,2.575,sub-0001
68,lh_S_precentral-sup-part,703,1507,2.451,sub-0001
69,lh_S_suborbital,415,802,2.413,sub-0001
70,lh_S_subparietal,854,1872,2.601,sub-0001
71,lh_S_temporal_inf,1145,2492,2.601,sub-0001
72,lh_S_temporal_sup,4324,10769,2.66,sub-0001
73,lh_S_temporal_transverse,194,528,3.109,sub-0001
0,rh_G&S_frontomargin,759,2315,2.649,sub-0001
1,rh_G&S_occipital_inf,827,2259,2.398,sub-0001
2,rh_G&S_paracentral,734,2150,2.372,sub-0001
3,rh_G&S_subcentral,912,2977,2.863,sub-0001
4,rh_G&S_transv_frontopol,907,2924,2.498,sub-0001
5,rh_G&S_cingul-Ant,2228,7084,3.064,sub-0001
6,rh_G&S_cingul-Mid-Ant,985,2853,2.881,sub-0001
7,rh_G&S_cingul-Mid-Post,1057,3094,2.758,sub-0001
8,rh_G_cingul-Post-dorsal,435,1869,3.17,sub-0001
9,rh_G_cingul-Post-ventral,169,637,3.001,sub-0001
10,rh_G_cuneus,1264,2589,1.8,sub-0001
11,rh_G_front_inf-Opercular,738,2945,3.009,sub-0001
12,rh_G_front_inf-Orbital,225,1127,3.19,sub-0001
13,rh_G_front_inf-Triangul,557,2252,3.075,sub-0001
14,rh_G_front_middle,2181,8753,2.852,sub-0001
15,rh_G_front_sup,4423,17777,3.135,sub-0001
16,rh_G_Ins_lg&S_cent_ins,404,1646,3.631,sub-0001
17,rh_G_insular_short,521,2534,3.408,sub-0001
18,rh_G_occipital_middle,1484,4828,2.57,sub-0001
19,rh_G_occipital_sup,883,2002,1.946,sub-0001
20,rh_G_oc-temp_lat-fusifor,1456,5007,2.706,sub-0001
21,rh_G_oc-temp_med-Lingual,2036,4789,2.108,sub-0001
22,rh_G_oc-temp_med-Parahip,996,3790,2.882,sub-0001
23,rh_G_orbital,1961,7475,2.905,sub-0001
24,rh_G_pariet_inf-Angular,2051,7212,2.725,sub-0001
25,rh_G_pariet_inf-Supramar,1315,4625,2.794,sub-0001
26,rh_G_parietal_sup,1444,4547,2.436,sub-0001
27,rh_G_postcentral,1065,2710,2.053,sub-0001
28,rh_G_precentral,1393,5873,3.019,sub-0001
29,rh_G_precuneus,1597,5640,2.738,sub-0001
30,rh_G_rectus,606,2265,2.673,sub-0001
31,rh_G_subcallosal,409,965,2.291,sub-0001
32,rh_G_temp_sup-G_T_transv,206,580,2.553,sub-0001
33,rh_G_temp_sup-Lateral,1164,4875,3.105,sub-0001
34,rh_G_temp_sup-Plan_polar,516,1892,3.295,sub-0001
35,rh_G_temp_sup-Plan_tempo,526,1585,2.791,sub-0001
36,rh_G_temporal_inf,1707,7088,3.097,sub-0001
37,rh_G_temporal_middle,1995,8750,3.22,sub-0001
38,rh_Lat_Fis-ant-Horizont,287,577,2.297,sub-0001
39,rh_Lat_Fis-ant-Vertical,188,443,2.603,sub-0001
40,rh_Lat_Fis-post,860,1949,2.672,sub-0001
41,rh_Pole_occipital,2222,3781,1.644,sub-0001
42,rh_Pole_temporal,1197,6254,3.542,sub-0001
43,rh_S_calcarine,1331,2030,1.779,sub-0001
44,rh_S_central,1710,2798,1.874,sub-0001
45,rh_S_cingul-Marginalis,958,2042,2.278,sub-0001
46,rh_S_circular_insula_ant,365,984,3.252,sub-0001
47,rh_S_circular_insula_inf,676,1568,2.706,sub-0001
48,rh_S_circular_insula_sup,985,2358,2.852,sub-0001
49,rh_S_collat_transv_ant,652,1820,3.017,sub-0001
50,rh_S_collat_transv_post,269,413,1.908,sub-0001
51,rh_S_front_inf,1281,3252,2.492,sub-0001
52,rh_S_front_middle,1599,3196,2.217,sub-0001
53,rh_S_front_sup,1331,3359,2.556,sub-0001
54,rh_S_interm_prim-Jensen,165,421,2.504,sub-0001
55,rh_S_intrapariet&P_trans,2243,4285,2.115,sub-0001
56,rh_S_oc_middle&Lunatus,616,1059,2.094,sub-0001
57,rh_S_oc_sup&transversal,1069,1999,2.145,sub-0001
58,rh_S_occipital_ant,562,1048,2.29,sub-0001
59,rh_S_oc-temp_lat,1027,2138,2.438,sub-0001
60,rh_S_oc-temp_med&Lingual,1275,2854,2.584,sub-0001
61,rh_S_orbital_lateral,350,727,2.425,sub-0001
62,rh_S_orbital_med-olfact,521,1072,2.631,sub-0001
63,rh_S_orbital-H_Shaped,1035,2589,2.583,sub-0001
64,rh_S_parieto_occipital,1266,2594,2.303,sub-0001
65,rh_S_pericallosal,949,1738,2.307,sub-0001
66,rh_S_postcentral,1637,3290,2.049,sub-0001
67,rh_S_precentral-inf-part,928,2100,2.495,sub-0001
68,rh_S_precentral-sup-part,785,1695,2.509,sub-0001
69,rh_S_suborbital,159,328,2.198,sub-0001
70,rh_S_subparietal,952,2216,2.604,sub-0001
71,rh_S_temporal_inf,1018,2171,2.627,sub-0001
72,rh_S_temporal_sup,4632,11704,2.692,sub-0001
73,rh_S_temporal_transverse,123,329,2.419,sub-0001
0,lh_G&S_frontomargin,1087,2899,2.406,sub-0002
1,lh_G&S_occipital_inf,829,2645,2.614,sub-0002
2,lh_G&S_paracentral,800,2493,2.476,sub-0002
